Login,Traces #1,Traces #2,Final Traces
,19.5,12.42,16.76
,20,13.68,18.67
,20,14.88,18.86
,0,2.05,18.86
,,,17.27
,18,7.58,7.62
,19.62,16.75,20
,20,9.96,11.24
,0,10.21,18.41
,,10.58,13.14
,20,16.91,20
,,,10.67
,5,8.95,16.89
,8,0,0
,17,0,19.05
,20,13.68,19.81
,20,20,20
,17,15.79,20
,20,13.68,12.95
,,,7
,,8.42,12.76
,,,0
,13.5,7.42,12.76
,20,16.91,18.41
,,18.46,17.46
,,,13.08
,20,13.68,12.95
,,,9.62
,8.12,10.51,18.22
,,14.74,19.62
,,,16.95
,10.12,12.05,13.63
,,,12.95
,,,12
,,,0
,,0,15.81
,20,13.68,20
,,,9.67
,19,19.3,18.41
,14.5,10.53,11.14
,20,16.56,19.24
,20,13.68,16.51
,,,0.95
,20,17.26,19.24
,,,0
,,4,13.71
,,,5.9
,10,5.26,0
,,,0
,17,10.32,16.51
,,,16.7
,,0,10
,14.62,17.53,17.27
,,,15.11
,,17.26,19.81
,0.5,19.3,18.22
,16.5,13.68,18.41
,17,13.68,15.3
,17,18.95,18.22
,15.12,17.81,20
,13.12,12.89,17.59
,0,11.63,13.14
,16.12,4.79,15.17
,18.5,11.68,15.24
,0,5.05,11.05
,,12.89,12.05
,,19,19.81
,,,0
,2.5,8.32,11.14
,,,0.19
,,0,17.27
,15,20,19.62
,7.5,15,16.62
,,0.05,12.95
,20,16.21,16.51
,,,11.81
,,,5.67
,,10.37,12
,15.12,10.39,16
,19.5,13.68,20
,20,17.89,17.14
,2.5,1.05,12
,20,10.32,17.59
,,14.53,16.7
,15.12,10.58,20
,20,8.42,17.4
,20,16.84,19.43
,2.5,12.42,13.65
,,,15.62
,0,0,17.16
,0,13.68,19.24
,10,16.21,18.41
,0,10.84,11.14
,17,16.21,18.86
,,,12.19
,20,20,19.24
,,16.42,16.19
,,0,5.9
,16.5,16.21,19.81
,17.12,14.09,18.41
,,7.37,17.9
,20,8.42,15.37
,20,12.84,19.62
,,15.67,20
,,7.16,16.76
,,,12.95
,0,0.89,1.9
,1.5,13.68,13.14
,15.12,0,14.33
,,,11.62
,,12.32,11.9
,0,0,8.14
,20,20,19.05
,11.5,9.58,14.98
,,,0
,,,19.81
,15.12,15.42,19.49
,,,5.33
,,,0
,,12.42,17.78
,19,7.42,0
,,,0
,20,14.53,19.05
,20,0,18.03
,8.62,16.7,12.44
,,,17.46
,18,20,20
,,,1.71
,20,16.56,17.97
,,,6.1
,,12.63,12.95
,13.5,13.68,16.7
,,,11.81
,,,0
,20,12.84,16.57
,17,13.47,14.92
,18,13.82,17.59
,18.12,20,19.81
,,,0
,20,16.21,15.24
,17,17.89,18.03
,,17.26,19.81
,,2.11,7.81
,,,0
,,0,17.05
,17,16.56,15.87
,,,0
,19,18.6,19.43
,,0,8.51
,0,0,11.43
,,10.53,12.95
,17.62,6.26,12.62
,20,12.63,0
,,,0
,0,12.47,20
,,,5.22
,,12,13.33
,,,18.41
,17,12.63,14.48
,,,18.29
,,1.05,4.24
,17,7.16,8.95
,,0,16.19
,17,16.21,19.43
,,,16.7
,17,16.21,16.7
,17,16.56,20
,20,20,19.24
,,10.53,16.95
,,0,0
,16,12.42,20
,,10.95,17.97
,20,13.19,13.78
,,,12.19
,,4,13.52
,10.5,11.58,12.95
,10,7.79,16.89
,5.5,8.77,16.13
,,,6.1
,15,20,19.24
,12.5,10.95,12.95
,17,16.56,19.81
,,,0
,,,17.52
,20,8.42,15.11
,20,18.6,15.81
,18,16.21,19.43
,0,6.16,7.95
,0,0.42,0
,,11.58,13.33
,,13.09,17.02
,20,18.04,19.24
,20,20,20
,,,0.95
,,,11.56
,,2.11,15.81
,,,2.05
,0,16.61,19.62
,2,0.84,19.62
