Login,Traces #1,Traces #2.0,Traces #2.1,Traces #2.2,Traces #3,Final Traces
,6.67,10,11.25,11.25,13.25,11.6
,13.33,20,20,20,18.5,15.8
,13.33,15,18.75,20,18.12,17
,20,20,20,20,18,20
,,10,10,10,7.5,6
,,,,,,16.8
,,,,,2.5,19
,20,20,20,20,19.5,19
,8,10.28,11.53,12.78,13.25,11.6
,,10,10,10,18.12,18
,,,,,0,12.6
,0,0,0,0,7.54,18.6
,,,,,15.12,14.1
,,15.5,13,13,9.25,15.6
,13.33,5.56,5.56,5.56,0,6.37
,,0,0,0,0,6.27
,16.67,17.5,17.5,17.5,17,17.2
,20,20,20,20,20,18
,,6.67,7.92,9.17,20,19
,,17.5,15,15,19.5,18.6
,,,,,0,17.2
,,,,,13,0
,,,,,15,11.6
,,,,,,4
,20,5.56,6.81,8.06,9.38,19
,20,20,20,20,19.5,18.6
,,0,0,0,0,9.1
,4.67,5.56,5.56,5.56,16.12,19
,0,13,10.5,10.5,19,18.2
,20,20,20,20,19,20
,13.33,15,12.5,12.5,17,19
,,,,,16.17,14.93
,0,17.78,17.78,17.78,13.33,0
,13.33,16.67,16.67,16.67,12.5,15.6
,,7.78,7.78,7.78,20,19
,18,20,20,20,20,20
,20,12.5,13.75,15,20,19
,,,,,,3.5
,0,0,0,0,7.5,12.9
,13.33,15,18.75,20,20,19
,,4.44,4.44,4.44,4.17,16.33
,,,,,,11.27
,18,18,18,18,19,17.2
,2.67,12.78,10.28,10.28,7.38,18.6
,20,20,20,20,19,20
,,15,18.75,20,15,15.4
,,20,20,20,19,19
,,0,0,0,14.67,19
,,,,,0,0
,,,,,18.33,19
,,0,0,0,17.33,13.47
,20,10,10,10,7.5,16.5
,18,15,18.75,20,13.12,11.5
,18,13,10.5,10.5,17,15.6
,17,12,9.5,9.5,16,14.8
,16.67,10,11.25,12.5,18.5,15.8
,6,1.56,1.56,1.56,2.17,7.17
,11.33,7.17,8.42,9.67,19,16.2
,,15,18.75,20,20,19
,5,5.67,6.92,8.17,5.88,14
,,,,,2.5,9.9
,,,,,0,0
,6.67,3.33,3.33,3.33,20,19
,,,,,5.83,16.8
,,18,18,18,20,18
,,,,,,10.17
,,5.56,6.81,8.06,19,16.2
,4.67,15,12.5,12.5,19,17.2
,20,20,20,20,19,19
,,,,,,14
,,,,,,0
,,,,,,6.5
,,,,,0,5.5
,,,,,7.92,16.8
,20,10,10,10,20,19
,,,,,6.21,14.1
,20,20,20,20,19,17.2
,,,,,,3
,16.67,17.78,17.78,17.78,14.33,12.47
,,,,,0,0
,13.33,20,20,20,19,17.2
,,,,,,13.6
,,0,0,0,0,6.03
,20,20,20,20,19,16.2
,,,,,19.5,17.6
,18,10.5,11.75,13,16.25,19
,,,,,,10.1
,,,,,7.5,15
,9.33,15,12.5,12.5,17.5,12.8
,20,15,18.75,20,20,19
,,,,,0,18.6
,20,15,18.75,20,18.5,15.8
,20,10,11.25,12.5,9.38,18.6
,,10,10,10,7.5,14.1
,,15,12.5,12.5,0,18.2
,,,,,,2
,16.67,10,10,10,18.5,16.8
,,5.56,5.56,5.56,20,19
,,,,,18.5,19
,,3.56,3.56,3.56,4.17,11.2
,,,,,,0
,,,,,,19
,,0,0,0,0,7.17
,18,20,20,20,15,18
,20,15,18.75,20,18.5,16.8
,20,10,11.25,15,19.5,16.6
,20,10,10,10,20,20
,,,,,16.5,13.2
,,10,10,10,20,18
,20,20,20,20,20,20
,,6,7.25,8.5,0,8.1
,,,,,0,12.27
,,,,,,16.8
,,,,,,6.57
,13.33,5.56,5.56,5.56,4.17,11.2
,0,14.44,14.44,14.44,16.5,13.6
,6.67,10,11.25,12.5,19,17.2
,13.33,10,10,10,7.5,14.8
,20,20,20,20,17,17.4
,4.67,0.44,0.44,0.44,11.58,14.1
,,,,,,4.17
,20,20,20,20,19,19
,,,,,15.33,14.27
,12.67,5.78,5.78,5.78,16.5,15.67
,,,,,18.5,16.8
,20,18,18,18,20,19
,,,,,,0
,20,17.5,15,15,17,15.6
,16.67,20,20,20,20,19
,18,18,18,18,18.5,15.2
,20,20,20,20,20,19
,20,20,20,20,20,20
,20,17.5,15,15,19,17.2
,0,17.5,15,15,17,17.2
,6.67,3.33,3.33,3.33,2.5,10
,,,,,,7.5
,,0,0,0,0,7.47
,,3.33,3.33,3.33,16.33,18
,,15,12.5,12.5,18,16.4
,,17.5,15,15,18,17.2
,,,,,,17
,18,18,18,18,7.5,16.8
,,,,,,9.47
,20,12.5,13.75,15,0,0
,,17.5,15,15,17,19
,,,,,2.5,17.2
,6.67,15,12.5,12.5,18,17.2
,,,,,0,0
,,,,,,0
,,,,,,0
,,,,,,14.07
,16.67,20,20,20,20,19
,19,9,9,9,9.38,10.1
,20,20,20,20,20,19
,20,10.28,11.53,12.78,15.83,15
,,15,17.5,17.5,19,16.2
,11.33,15,12.5,12.5,15,14
,,,,,,8.67
,20,17.78,17.78,17.78,19,20
,,20,20,20,19,17.2
,,,,,1.67,2.17
,,,,,,7.1
,20,20,20,20,17,19
,,0,0,,,
,,12.5,12.5,12.5,18,19
,,,,,2.5,15.47
,20,20,20,20,19,17.2
,,,,,,16.07
,,,,,,17.67
,,,,,13.25,11.6
,,,,,0,19
,20,20,20,20,20,19
,16.67,17.78,17.78,17.78,19,17.2
,20,20,20,20,17,19
,13.33,5.56,5.56,5.56,15.75,14.6
,,5.56,5.56,5.56,5.5,16.8
,,,,,0,14.27
,,,,,,0
,20,10,10,10,5.5,14.6
,0,12.78,10.28,10.28,5.83,17.2
,,5.56,5.56,5.56,16.5,15
,9.33,20,20,20,20,18
,,,,,17,16.4
,,,,,,0
,,3.56,3.56,3.56,2.17,13.6
,20,12.5,13.75,13.75,20,19
,,,,,16.83,19
,,,,,,15.33
,18,15.56,15.56,15.56,17.33,20
,,,,,,1.33
,,,,,,0
,,,,,11.08,9.43
,20,17.5,15,15,20,19
,20,20,20,20,20,16.6
,20,10.5,11.75,13,9.25,17.4
,,7.78,7.78,7.78,18.5,17.8
,20,20,20,20,19,17.2
,,,,,,8.67
,,2.22,2.22,2.22,6.5,19
,20,12.5,13.75,15,15,16.2
,,,,,15.33,14.6
,16.67,11,8.5,8.5,19,17.2
,,,,,,12.6
,18,8,8,8,16.5,13.8
,,,,,14.62,19
,16.67,10.56,14.31,15.56,11.67,15.33
,0,20,20,20,19,17.2
,0,15,18.75,20,20,18
,,1.56,1.56,1.56,18.12,16.5
,20,15,12.5,12.5,18.5,19
,,11.28,8.78,8.78,12.67,14.53
,,15.78,15.78,15.78,15.33,19
,,6.56,10.31,11.56,18,14.4
,20,15,18.75,18.75,18.5,14.8
,,0,0,0,0,17.27
,,,,,,15.6
,16,6.56,4.06,4.06,15.12,19
,20,12.5,16.25,17.5,18.5,18.2
,,,,,7.71,8.5
,,0,0,0,7.38,0
,,0,0,0,0,0
,0,0,0,0,0,19
,20,17.5,15,15,13.25,19
,,,,,,11.6
,,,,,7.5,14.3
,,,,,,9.23
,20,10,11.25,15,19,20
,9.33,11,8.5,8.5,18.5,16.8
,2.67,20,20,20,18,16.4
,,,,,,7
,0,0,0,0,13.33,13.53
,,,,,,11.67
,2.67,0,0,0,14.67,19
,,,,,7.5,18.2
,,,,,,0
,16.67,15,12.5,12.5,16,18
,,,,,,19
,,,,,18.33,14.6
,0,0,0,0,0,14
,,20,20,20,17,15.6
,3.33,4.44,4.44,4.44,3.33,2.67
,16.67,17.5,15,15,19.5,18.6
,0,0,0,0,0,0
,,,,,,14.27
,20,10,10,10,7.38,15.8
,,,,,,15
,,,,,,14.6
,0,4.44,4.44,4.44,6.88,5.5
,,,,,,4.33
,18,12.5,13.75,15,20,19
,20,15,12.5,12.5,9.38,20
,20,17.5,15,15,20,19
,,,,,3.83,14.6
,20,10,11.25,12.5,16.5,16.6
,,15,18.75,20,15,19
,,0,0,0,0,4.43
,,6.67,6.67,6.67,12.75,18.6
,,,,,4.17,15.6
,20,20,20,20,17.5,17.2
,,,,,0,6.33
,20,17.5,15,15,16.25,18
,,9.17,9.17,9.17,13.75,11.5
,6,10,11.25,11.25,10.31,18.6
,,2.22,2.22,2.22,1.67,15.6
,0,0,0,0,19,17.2
,6.67,3.33,3.33,3.33,18.12,16.5
,,,,,,12.87
,20,20,20,20,18.5,17.2
,,,,,10.38,15.8
,,,,,17.5,19
,,,,,,16.8
,16,20,20,20,18,16.4
,,,,,16.25,19
,20,20,20,20,18.5,16.8
,,,,,17,15.6
,,13,15.5,15.5,17,17.2
,18,20,20,20,20,19
,20,12.5,13.75,15,18,20
,20,15,18.75,20,20,20
,16.67,12.78,16.53,17.78,18.5,17.8
,20,20,20,20,17,18
,,,,,18.5,16.8
,,5.56,5.56,5.56,4.17,0
,,,,,,0
,0,10.56,13.06,13.06,19.5,18.6
,,,,,8.44,19
,16,10,11.25,12.5,20,19
,6.67,3.33,3.33,3.33,16.5,15.2
,20,10,10,10,15,19
,16.67,7.78,7.78,7.78,17,15.6
,20,20,20,20,16,14.8
,0,0,0,0,9.38,15
,,,,,0,13.1
,,20,20,20,20,19
,,,,,,11.47
,,14.44,14.44,14.44,14,18.6
,6,8.33,12.08,13.33,19.5,17.6
,20,15,18.75,20,17,17.2
,,,,,,12.13
,20,12.5,16.25,20,17,13.6
,20,20,20,20,20,20
,13.33,15,12.5,12.5,9.38,19
,11.33,13.5,11,11,18.12,17.5
,0,0,0,0,20,19
,20,10,10,10,16.62,16.8
,20,10,10,10,18.5,18.2
,20,20,20,20,19.5,19
,,,,,20,20
,,,,,9.38,15.2
,6.67,10,10,10,9.38,17.2
,,,,,13.33,13.47
,6.67,12.5,16.25,17.5,18.5,19
,,10,10,10,9.38,15.6
